week,search_query,search_query_score,search_quey_volume,imp_total_count,imp_ASIN_count,imp_ASIN_share,clk_total_count,clk_click_rate,clk_ASIN_count,clk_ASIN_share,cart_total_count,cart_add_rate,cart_ASIN_count,cart_ASIN_share,pur_total_count,pur_purchase_rate,pur_ASIN_count,pur_ASIN_share
Week 43,sensory toys for autistic children 5-7,98,451,9947,84,0.0084,105,0.2328,1,0.0095,25,0.0554,1,0.04,2,0.0044,0,0
Week 43,bunmo juguetes sensoriales,99,4,76,8,0.1053,3,0.75,3,1,1,0.25,1,1,0,0,0,-
Week 43,stretchy sensory toys,100,100,2621,70,0.0267,35,0.35,1,0.0286,17,0.17,1,0.0588,3,0.03,0,0
Week 42,sensory toys,1,62895,1434767,4791,0.0033,17834,0.2836,62,0.0035,5872,0.0934,33,0.0056,849,0.0135,9,0.0106
Week 42,bunmo sensory toys,2,267,7131,411,0.0576,140,0.5243,29,0.2071,60,0.2247,15,0.25,22,0.0824,6,0.2727
Week 42,toys for autistic children age 5-7,3,3584,81678,860,0.0105,1141,0.3184,12,0.0105,313,0.0873,7,0.0224,42,0.0117,0,0
Week 42,sensory toys for autistic children,4,35501,781376,296,0.0004,11653,0.3282,7,0.0006,3711,0.1045,6,0.0016,521,0.0147,1,0.0019
Week 42,stretchy fidget toy,5,701,16611,292,0.0176,224,0.3195,4,0.0179,86,0.1227,3,0.0349,24,0.0342,2,0.0833
Week 42,autistic toys for boys 5-7,6,1785,39278,434,0.011,571,0.3199,10,0.0175,179,0.1003,6,0.0335,19,0.0106,0,0
Week 42,stimming toys for autism kids,7,262,5991,148,0.0247,62,0.2366,5,0.0806,14,0.0534,2,0.1429,6,0.0229,2,0.3333
Week 42,stretchy toys,8,2839,64938,462,0.0071,879,0.3096,4,0.0046,250,0.0881,3,0.012,60,0.0211,1,0.0167
Week 42,occupational therapy toys,9,4192,100099,393,0.0039,1360,0.3244,9,0.0066,536,0.1279,5,0.0093,55,0.0131,0,0
Week 42,sensory chew toys,10,1235,26821,185,0.0069,409,0.3312,7,0.0171,153,0.1239,3,0.0196,58,0.047,1,0.0172
Week 42,autism sensory toys,11,18108,396420,759,0.0019,5318,0.2937,1,0.0002,1701,0.0939,1,0.0006,218,0.012,1,0.0046
Week 42,toys for autism,12,770,18018,287,0.0159,218,0.2831,5,0.0229,69,0.0896,5,0.0725,4,0.0052,0,0
Week 42,autism toys,13,8450,185988,487,0.0026,2158,0.2554,4,0.0019,671,0.0794,1,0.0015,64,0.0076,1,0.0156
Week 42,noodlies,14,139,3546,137,0.0386,61,0.4388,3,0.0492,24,0.1727,2,0.0833,5,0.036,1,0.2
Week 42,"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | autism sensory toys, toddler toys, stocking stuffers for kids",16,7,420,10,0.0238,4,0.5714,3,0.75,2,0.2857,2,1,1,0.1429,1,1
Week 42,b082d7wvt8,17,5,62,5,0.0806,3,0.6,3,1,2,0.4,2,1,1,0.2,1,1
Week 42,z vibe,18,678,16510,312,0.0189,223,0.3289,1,0.0045,66,0.0973,1,0.0152,26,0.0383,1,0.0385
Week 42,bunmo 6pk,19,2,40,3,0.075,2,1,2,1,2,1,2,1,1,0.5,1,1
Week 42,speks,20,10892,227102,305,0.0013,4550,0.4177,8,0.0018,1635,0.1501,2,0.0012,164,0.0151,0,0
Week 42,sensory fidgets for autism,21,43,1104,26,0.0236,16,0.3721,2,0.125,8,0.186,1,0.125,2,0.0465,1,0.5
Week 42,soft sensory toys for autistic children,22,57,1654,26,0.0157,15,0.2632,2,0.1333,7,0.1228,1,0.1429,2,0.0351,1,0.5
Week 42,autism learning materials,23,7648,172407,62,0.0004,2838,0.3711,1,0.0004,779,0.1019,1,0.0013,85,0.0111,1,0.0118
Week 42,bunmo stretchy strings,24,12,298,24,0.0805,9,0.75,2,0.2222,4,0.3333,1,0.25,2,0.1667,1,0.5
Week 42,christmas stocking stuffers,25,21596,512947,685,0.0013,4191,0.1941,3,0.0007,1744,0.0808,1,0.0006,186,0.0086,0,0
Week 42,chewy sensory toys,26,319,8193,53,0.0065,113,0.3542,1,0.0088,33,0.1034,1,0.0303,14,0.0439,1,0.0714
Week 42,social emotional toys,27,539,14735,49,0.0033,199,0.3692,1,0.005,56,0.1039,1,0.0179,16,0.0297,1,0.0625
Week 42,sensory toys for older kids,28,123,2655,43,0.0162,21,0.1707,1,0.0476,7,0.0569,1,0.1429,6,0.0488,1,0.1667
Week 42,textured fidget noodles,29,4,118,4,0.0339,4,1,2,0.5,1,0.25,1,1,1,0.25,1,1
Week 42,sensory torys,30,5,247,3,0.0121,5,1,2,0.4,2,0.4,1,0.5,1,0.2,1,1
Week 42,80s toys nostalgia,31,385,7837,39,0.005,70,0.1818,1,0.0143,27,0.0701,1,0.037,9,0.0234,1,0.1111
Week 42,fidget rope,32,61,1326,28,0.0211,19,0.3115,1,0.0526,9,0.1475,1,0.1111,5,0.082,1,0.2
Week 42,pumpkin toy,33,2165,47565,26,0.0005,522,0.2411,1,0.0019,140,0.0647,1,0.0071,53,0.0245,1,0.0189
Week 42,stress toys,34,8629,215328,25,0.0001,2268,0.2628,1,0.0004,515,0.0597,1,0.0019,83,0.0096,1,0.012
Week 42,autism fidget,35,47,1326,20,0.0151,9,0.1915,1,0.1111,3,0.0638,1,0.3333,1,0.0213,1,1
Week 42,fidget toys for autistic children,36,109,2402,19,0.0079,39,0.3578,1,0.0256,12,0.1101,1,0.0833,3,0.0275,1,0.3333
Week 42,sensory balls for kids,37,315,6976,19,0.0027,95,0.3016,1,0.0105,33,0.1048,1,0.0303,12,0.0381,1,0.0833
Week 42,fidgets autism,38,40,915,18,0.0197,21,0.525,1,0.0476,5,0.125,1,0.2,3,0.075,1,0.3333
Week 42,soothing toys for autistic children,39,35,1123,15,0.0134,13,0.3714,1,0.0769,4,0.1143,1,0.25,2,0.0571,1,0.5
Week 42,stretch toys,40,587,12861,15,0.0012,162,0.276,1,0.0062,47,0.0801,1,0.0213,9,0.0153,1,0.1111
Week 42,stretchy worms,41,37,818,13,0.0159,19,0.5135,1,0.0526,6,0.1622,1,0.1667,3,0.0811,1,0.3333
Week 42,switch adapted toys for special needs children,42,22,525,13,0.0248,5,0.2273,1,0.2,1,0.0455,1,1,1,0.0455,1,1
Week 42,stretchlerz,43,17,355,11,0.031,18,1.0588,1,0.0556,4,0.2353,1,0.25,3,0.1765,1,0.3333
Week 42,juguetes o accesorios para niños con autismo,44,10,183,8,0.0437,7,0.7,1,0.1429,2,0.2,1,0.5,2,0.2,1,0.5
Week 42,desk buddy sensory ruler,45,7,224,7,0.0313,5,0.7143,1,0.2,1,0.1429,1,1,1,0.1429,1,1
Week 42,string for autistic kid,46,11,213,7,0.0329,2,0.1818,1,0.5,1,0.0909,1,1,1,0.0909,1,1
Week 42,super sensory textured stretchy strings,47,5,207,7,0.0338,5,1,1,0.2,4,0.8,1,0.25,2,0.4,1,0.5
Week 42,treasure grab bag for developmentally disabled adults,48,15,495,7,0.0141,4,0.2667,1,0.25,2,0.1333,1,0.5,2,0.1333,1,0.5
Week 42,occupational therapy toys for oral stimulation,49,23,724,6,0.0083,7,0.3043,1,0.1429,2,0.087,1,0.5,2,0.087,1,0.5
Week 42,oodles of noodles fidget toy,50,50,975,5,0.0051,23,0.46,1,0.0435,8,0.16,1,0.125,1,0.02,1,1
Week 42,sensory stretch bands,51,5,177,5,0.0282,1,0.2,1,1,1,0.2,1,1,1,0.2,1,1
Week 42,gift for blind child,52,15,326,4,0.0123,3,0.2,1,0.3333,1,0.0667,1,1,1,0.0667,1,1
Week 42,bunmo 6pk sensory strings party favors,53,2,108,3,0.0278,2,1,1,0.5,2,1,1,0.5,1,0.5,1,1
Week 42,bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stress toys for adults and kids. ideal autistic toys - 6 pack,54,3,134,3,0.0224,2,0.6667,1,0.5,2,0.6667,1,0.5,2,0.6667,1,0.5
Week 42,jacobs ladder carnival,55,3,39,3,0.0769,1,0.3333,1,1,1,0.3333,1,1,1,0.3333,1,1
Week 42,quiet nap time toys,56,4,240,3,0.0125,7,1.75,1,0.1429,5,1.25,1,0.2,5,1.25,1,0.2
Week 42,stress relief for autistic kids,57,8,271,3,0.0111,1,0.125,1,1,1,0.125,1,1,1,0.125,1,1
Week 42,window toy,58,66,1346,3,0.0022,26,0.3939,1,0.0385,13,0.197,1,0.0769,4,0.0606,1,0.25
Week 42,autism sensory toys boys,59,12,228,2,0.0088,4,0.3333,1,0.25,2,0.1667,1,0.5,2,0.1667,1,0.5
Week 42,bunmo 6pk textured noodle sensory toys calming,60,1,60,2,0.0333,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,bunmo sensory toys - calming textured silly stretchy strings and,61,1,60,2,0.0333,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,sensory toys calm corner,62,14,266,2,0.0075,10,0.7143,1,0.1,5,0.3571,1,0.2,2,0.1429,1,0.5
Week 42,texture noodles sensory toys,63,1,60,2,0.0333,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,visual stimulation toys autism 5 years,64,4,76,2,0.0263,1,0.25,1,1,1,0.25,1,1,1,0.25,1,1
Week 42,6 pack bunmo sensory toys- calming textured silly stretchy strings and sensory toys for autistic children,65,1,53,1,0.0189,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | autism sensory toys, toddler toys, stocking stuffers for kids bunmo",66,1,60,1,0.0167,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,calming pinwheel,67,1,60,1,0.0167,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,emotional check in chart for 1 year old classroom,68,8,132,1,0.0076,9,1.125,1,0.1111,1,0.125,1,1,1,0.125,1,1
Week 42,kids adhd squeeze ball,69,6,115,1,0.0087,8,1.3333,1,0.125,2,0.3333,1,0.5,2,0.3333,1,0.5
Week 42,sillicon streaxh worm,70,1,17,1,0.0588,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,therapy fidgets worm,71,3,55,1,0.0182,2,0.6667,1,0.5,1,0.3333,1,1,1,0.3333,1,1
Week 42,worm chewies,72,1,48,1,0.0208,1,1,1,1,1,1,1,1,1,1,1,1
Week 42,small toys,73,5154,126592,305,0.0024,1330,0.2581,3,0.0023,420,0.0815,2,0.0048,110,0.0213,0,0
Week 42,teeter popper,74,2137,49158,266,0.0054,1075,0.503,4,0.0037,338,0.1582,2,0.0059,30,0.014,0,0
Week 42,bunmo sensory toys - calming textured silly stretchy strings,75,26,723,49,0.0678,15,0.5769,3,0.2,12,0.4615,2,0.1667,7,0.2692,0,0
Week 42,special needs toys,76,1940,35472,310,0.0087,292,0.1505,2,0.0068,103,0.0531,1,0.0097,9,0.0046,0,0
Week 42,sensory toys for kids 5-7,77,8703,186415,303,0.0016,2472,0.284,2,0.0008,879,0.101,1,0.0011,99,0.0114,0,0
Week 42,sensory rope,78,11,249,10,0.0402,7,0.6364,2,0.2857,3,0.2727,2,0.6667,1,0.0909,0,0
Week 42,sensory items,79,1078,31407,254,0.0081,337,0.3126,1,0.003,123,0.1141,1,0.0081,4,0.0037,0,0
Week 42,calming toys for kids,80,1542,33384,239,0.0072,583,0.3781,1,0.0017,222,0.144,1,0.0045,31,0.0201,0,0
Week 42,kids sensory toys,81,1714,37872,200,0.0053,492,0.287,2,0.0041,158,0.0922,1,0.0063,18,0.0105,0,0
Week 42,theraputty,82,3027,90692,415,0.0046,1476,0.4876,3,0.002,458,0.1513,0,0,158,0.0522,0,0
Week 42,autism chew toys sensory,83,1500,33309,182,0.0055,437,0.2913,2,0.0046,184,0.1227,1,0.0054,45,0.03,0,0
Week 42,stretch armstrong,84,3375,76924,211,0.0027,1456,0.4314,1,0.0007,370,0.1096,1,0.0027,98,0.029,0,0
Week 42,toys for teenagers,85,1012,26334,203,0.0077,134,0.1324,1,0.0075,25,0.0247,1,0.04,1,0.001,0,0
Week 42,calm corner items,86,367,9549,88,0.0092,126,0.3433,4,0.0317,42,0.1144,1,0.0238,5,0.0136,0,0
Week 42,sensory toys bulk,87,1063,24725,156,0.0063,439,0.413,2,0.0046,147,0.1383,1,0.0068,37,0.0348,0,0
Week 42,autism sensory products,88,5524,118906,408,0.0034,1612,0.2918,1,0.0006,413,0.0748,0,0,42,0.0076,0,0
Week 42,sensory processing disorder toys,89,469,9839,141,0.0143,167,0.3561,1,0.006,46,0.0981,1,0.0217,0,0,0,-
Week 42,anxiety toys,90,3689,82011,383,0.0047,862,0.2337,1,0.0012,190,0.0515,0,0,21,0.0057,0,0
Week 42,oral sensory toys,91,250,6883,86,0.0125,76,0.304,2,0.0263,16,0.064,1,0.0625,0,0,0,-
Week 42,sensory autism,92,323,7223,85,0.0118,109,0.3375,2,0.0183,35,0.1084,1,0.0286,1,0.0031,0,0
Week 42,sensory toy,93,1911,46711,371,0.0079,414,0.2166,1,0.0024,128,0.067,0,0,27,0.0141,0,0
Week 42,toys for adhd children age 5-7,94,183,3885,34,0.0088,51,0.2787,3,0.0588,11,0.0601,1,0.0909,1,0.0055,0,0
Week 42,sensory fidget toys,95,2010,48723,63,0.0013,624,0.3104,2,0.0032,212,0.1055,1,0.0047,38,0.0189,0,0
Week 42,fidget toys for adults adhd,96,241,6583,60,0.0091,77,0.3195,2,0.026,12,0.0498,1,0.0833,3,0.0124,0,0
Week 42,toys for autistic children,97,659,14855,95,0.0064,178,0.2701,1,0.0056,54,0.0819,1,0.0185,4,0.0061,0,0
Week 42,squishy sensory toys,98,238,5053,94,0.0186,66,0.2773,1,0.0152,20,0.084,1,0.05,4,0.0168,0,0
Week 42,sensory toys adults,99,380,8553,93,0.0109,124,0.3263,1,0.0081,32,0.0842,1,0.0313,5,0.0132,0,0
Week 42,sensory strings,100,72,1676,54,0.0322,33,0.4583,2,0.0606,15,0.2083,1,0.0667,2,0.0278,0,0
Week 41,sensory toys,1,79492,1776071,2506,0.0014,21392,0.2691,29,0.0014,6506,0.0818,16,0.0025,1216,0.0153,2,0.0016
Week 41,bunmo sensory toys,2,417,10861,572,0.0527,243,0.5827,23,0.0947,114,0.2734,11,0.0965,39,0.0935,5,0.1282
Week 41,toys for autistic children age 5-7,3,4594,104956,1300,0.0124,1431,0.3115,23,0.0161,370,0.0805,9,0.0243,78,0.017,3,0.0385
Week 41,fidget,4,44386,1075027,2384,0.0022,11422,0.2573,21,0.0018,2854,0.0643,3,0.0011,675,0.0152,1,0.0015
Week 41,sensory toys for autistic children,5,41403,909417,1809,0.002,13007,0.3142,7,0.0005,4002,0.0967,4,0.001,789,0.0191,2,0.0025
Week 41,autism toys,6,11869,259816,1641,0.0063,2931,0.2469,7,0.0024,851,0.0717,5,0.0059,123,0.0104,1,0.0081
Week 41,autistic toys for boys 5-7,7,2293,50721,578,0.0114,693,0.3022,12,0.0173,200,0.0872,4,0.02,37,0.0161,2,0.0541
Week 41,autism sensory toys,8,22653,482115,1939,0.004,6269,0.2767,5,0.0008,1849,0.0816,0,0,267,0.0118,0,0
Week 41,toys for kids with autism,9,2052,44883,367,0.0082,598,0.2914,6,0.01,176,0.0858,3,0.017,33,0.0161,1,0.0303
Week 41,sensory toys bunmo,10,13,476,20,0.042,7,0.5385,3,0.4286,6,0.4615,2,0.3333,2,0.1538,2,1
Week 41,bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stress toys for adults and kids. ideal autistic toys - 6 pack,11,20,532,20,0.0376,10,0.5,2,0.2,9,0.45,2,0.2222,4,0.2,2,0.5
Week 41,bunmo textured stretchy strings,12,2,65,4,0.0615,2,1,2,1,2,1,2,1,2,1,2,1
Week 41,sensory toys bulk,13,865,19566,153,0.0078,345,0.3988,4,0.0116,104,0.1202,2,0.0192,22,0.0254,1,0.0455
Week 41,autism sensory products,14,6951,147234,802,0.0054,1938,0.2788,4,0.0021,536,0.0771,2,0.0037,34,0.0049,0,0
Week 41,chewing toys for autistic kids,16,126,2573,17,0.0066,48,0.381,3,0.0625,16,0.127,2,0.125,4,0.0317,1,0.25
Week 41,theraputty,17,3328,97078,147,0.0015,1702,0.5114,2,0.0012,485,0.1457,1,0.0021,191,0.0574,1,0.0052
Week 41,sensory toys for autistic children 5-7,18,573,13318,121,0.0091,157,0.274,2,0.0127,42,0.0733,1,0.0238,15,0.0262,1,0.0667
Week 41,autism,19,15266,328704,157,0.0005,3017,0.1976,1,0.0003,810,0.0531,1,0.0012,118,0.0077,1,0.0085
Week 41,best toys for toddlers with autism,20,715,15635,61,0.0039,234,0.3273,1,0.0043,36,0.0503,1,0.0278,7,0.0098,1,0.1429
Week 41,sensory toys for kids 5-7,21,8922,199688,648,0.0032,2641,0.296,4,0.0015,845,0.0947,1,0.0012,142,0.0159,0,0
Week 41,calming sensory toys,22,383,9533,52,0.0055,141,0.3681,1,0.0071,54,0.141,1,0.0185,9,0.0235,1,0.1111
Week 41,slinky,23,12572,316321,49,0.0002,5815,0.4625,1,0.0002,2570,0.2044,1,0.0004,974,0.0775,1,0.001
Week 41,oral fidgets for kids,24,68,1486,11,0.0074,32,0.4706,2,0.0625,14,0.2059,1,0.0714,6,0.0882,1,0.1667
Week 41,figit string,25,6,114,5,0.0439,5,0.8333,2,0.4,1,0.1667,1,1,1,0.1667,1,1
Week 41,sensory sticks,26,152,3426,24,0.007,45,0.2961,1,0.0222,17,0.1118,1,0.0588,4,0.0263,1,0.25
Week 41,sensory rope,27,24,631,18,0.0285,6,0.25,1,0.1667,4,0.1667,1,0.25,3,0.125,1,0.3333
Week 41,ot toys for kids 5-7,28,91,1920,13,0.0068,25,0.2747,1,0.04,9,0.0989,1,0.1111,2,0.022,1,0.5
Week 41,fidget toys and textured sensory toys by bunmo,29,5,161,10,0.0621,2,0.4,1,0.5,2,0.4,1,0.5,1,0.2,1,1
Week 41,visual impaired products kids,30,29,590,8,0.0136,8,0.2759,1,0.125,1,0.0345,1,1,1,0.0345,1,1
Week 41,non verbal autistic toys,31,10,231,7,0.0303,6,0.6,1,0.1667,1,0.1,1,1,1,0.1,1,1
Week 41,toys for autistic children 5-7,32,27,506,6,0.0119,5,0.1852,1,0.2,2,0.0741,1,0.5,2,0.0741,1,0.5
Week 41,bunmo sensory,33,2,38,4,0.1053,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
Week 41,sucking fidget toy,34,17,323,4,0.0124,7,0.4118,1,0.1429,4,0.2353,1,0.25,4,0.2353,1,0.25
Week 41,toys for toddlers with autism and sensory issues,35,10,190,4,0.0211,4,0.4,1,0.25,3,0.3,1,0.3333,3,0.3,1,0.3333
Week 41,jesus is my rick stress toys,36,4,70,3,0.0429,1,0.25,1,1,1,0.25,1,1,1,0.25,1,1
Week 41,schylling big stress balls,37,11,201,3,0.0149,5,0.4545,1,0.2,3,0.2727,1,0.3333,3,0.2727,1,0.3333
Week 41,sensory hair tools,38,3,99,3,0.0303,5,1.6667,1,0.2,2,0.6667,1,0.5,2,0.6667,1,0.5
Week 41,silly stretchy strings,39,2,82,3,0.0366,2,1,1,0.5,2,1,1,0.5,1,0.5,1,1
Week 41,stem toys for children with disabilities,40,4,239,3,0.0126,2,0.5,1,0.5,1,0.25,1,1,1,0.25,1,1
Week 41,bunmo silly stretchy strings,41,1,36,2,0.0556,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,bunmo textired super stretchies,42,1,19,2,0.1053,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,figet toys and textured sensory toys by bunmo,43,1,28,2,0.0714,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,figit sensory toys autism,44,2,38,2,0.0526,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
Week 41,gel sensory shapes,45,5,219,2,0.0091,3,0.6,1,0.3333,1,0.2,1,1,1,0.2,1,1
Week 41,rubber stretch worms,46,3,180,2,0.0111,3,1,1,0.3333,1,0.3333,1,1,1,0.3333,1,1
Week 41,sensory adult string,47,2,39,2,0.0513,2,1,1,0.5,1,0.5,1,1,1,0.5,1,1
Week 41,toys for kids with autism age 11 soft,48,6,104,2,0.0192,2,0.3333,1,0.5,1,0.1667,1,1,1,0.1667,1,1
Week 41,autism toys calming,49,2,38,1,0.0263,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
Week 41,bunmo 6pk textured noodle,50,1,48,1,0.0208,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,fidget toys for kids textured,51,1,20,1,0.05,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,hand pins toy,52,22,416,1,0.0024,11,0.5,1,0.0909,6,0.2727,1,0.1667,2,0.0909,1,0.5
Week 41,sensory chew for kids with autism,53,6,114,1,0.0088,3,0.5,1,0.3333,2,0.3333,1,0.5,2,0.3333,1,0.5
Week 41,sensory toys bungee,54,1,19,1,0.0526,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,sensory toys stretchy sticks,55,1,60,1,0.0167,1,1,1,1,1,1,1,1,1,1,1,1
Week 41,fidget toys,56,218816,5226217,956,0.0002,67078,0.3065,1,0,18654,0.0852,0,0,3991,0.0182,0,0
Week 41,anxiety toys,57,4026,88501,554,0.0063,1042,0.2588,2,0.0019,249,0.0618,1,0.004,28,0.007,0,0
Week 41,occupational therapy toys,58,5975,136184,447,0.0033,1820,0.3046,3,0.0016,621,0.1039,1,0.0016,118,0.0197,0,0
Week 41,autism chew toys sensory,59,1956,43564,227,0.0052,646,0.3303,2,0.0031,255,0.1304,2,0.0078,83,0.0424,0,0
Week 41,sensory items,60,1025,30735,338,0.011,258,0.2517,4,0.0155,74,0.0722,1,0.0135,17,0.0166,0,0
Week 41,stimming toys,61,296,6941,135,0.0194,88,0.2973,2,0.0227,28,0.0946,2,0.0714,1,0.0034,0,0
Week 41,stretchy fidget toy,62,1001,23206,308,0.0133,339,0.3387,4,0.0118,113,0.1129,1,0.0088,33,0.033,0,0
Week 41,vibrator adult sensory toys,63,2993,58366,614,0.0105,332,0.1109,2,0.006,39,0.013,0,0,17,0.0057,0,0
Week 41,sensory fidgets for autism,64,78,1739,34,0.0196,30,0.3846,3,0.1,12,0.1538,2,0.1667,1,0.0128,0,0
Week 41,speks,65,13423,275029,546,0.002,3832,0.2855,3,0.0008,1163,0.0866,0,0,137,0.0102,0,0
Week 41,kids sensory toys,66,2083,45138,313,0.0069,515,0.2472,2,0.0039,148,0.0711,1,0.0068,18,0.0086,0,0
Week 41,special needs toys,67,2095,38442,312,0.0081,298,0.1422,2,0.0067,81,0.0387,1,0.0123,15,0.0072,0,0
Week 41,sensory room,68,3196,79713,263,0.0033,988,0.3091,3,0.003,278,0.087,1,0.0036,8,0.0025,0,0
Week 41,sensory toys for autism,69,244,6163,40,0.0065,67,0.2746,2,0.0299,24,0.0984,2,0.0833,10,0.041,0,0
Week 41,stretchy toys,70,2988,66029,515,0.0078,755,0.2527,3,0.004,195,0.0653,0,0,33,0.011,0,0
Week 41,special needs toys for children,71,4180,75761,470,0.0062,776,0.1856,3,0.0039,199,0.0476,0,0,20,0.0048,0,0
Week 41,sensory chew toys,72,1460,32054,208,0.0065,484,0.3315,2,0.0041,182,0.1247,1,0.0055,51,0.0349,0,0
Week 41,teeter popper,73,2348,57003,241,0.0042,1161,0.4945,1,0.0009,458,0.1951,1,0.0022,81,0.0345,0,0
Week 41,bunmo,74,295,7945,291,0.0366,153,0.5186,6,0.0392,41,0.139,0,0,16,0.0542,0,0
Week 41,sensory toys for older kids,75,268,5794,70,0.0121,61,0.2276,4,0.0656,24,0.0896,1,0.0417,10,0.0373,0,0
Week 41,autistic toys,76,1719,40004,138,0.0034,469,0.2728,2,0.0043,137,0.0797,1,0.0073,30,0.0175,0,0
Week 41,calm corner items,77,477,11402,137,0.012,196,0.4109,2,0.0102,69,0.1447,1,0.0145,8,0.0168,0,0
Week 41,sensory processing disorder toys,78,625,13098,91,0.0069,208,0.3328,3,0.0144,57,0.0912,1,0.0175,6,0.0096,0,0
Week 41,b082d7wvt8,79,6,78,6,0.0769,5,0.8333,5,1,1,0.1667,1,1,0,0,0,-
Week 41,stress relief toys for adults,80,6682,152071,145,0.001,1618,0.2421,1,0.0006,275,0.0412,1,0.0036,57,0.0085,0,0
Week 41,fidget toys for adults adhd,81,319,7694,100,0.013,77,0.2414,2,0.026,10,0.0313,1,0.1,1,0.0031,0,0
Week 41,wooden lollipop stress relief toy,82,2329,57339,346,0.006,1191,0.5114,2,0.0017,405,0.1739,0,0,63,0.0271,0,0
Week 41,jumbo slinky,83,550,12274,117,0.0095,247,0.4491,1,0.004,81,0.1473,1,0.0123,26,0.0473,0,0
Week 41,sensory chew toys for autistic children,84,1333,29741,116,0.0039,389,0.2918,1,0.0026,139,0.1043,1,0.0072,56,0.042,0,0
Week 41,sensory,85,15103,333496,295,0.0009,3602,0.2385,3,0.0008,1002,0.0663,0,0,141,0.0093,0,0
Week 41,sensory room items,86,1936,45749,94,0.0021,591,0.3053,1,0.0017,204,0.1054,1,0.0049,9,0.0046,0,0
Week 41,rubber cord,87,234,6278,54,0.0086,102,0.4359,2,0.0196,26,0.1111,1,0.0385,5,0.0214,0,0
Week 41,tentacle toy adult,88,1478,24816,54,0.0022,465,0.3146,2,0.0043,102,0.069,1,0.0098,15,0.0101,0,0
Week 41,social emotional toys,89,748,19244,53,0.0028,250,0.3342,2,0.008,87,0.1163,1,0.0115,21,0.0281,0,0
Week 41,adult sensory items,90,1206,25116,88,0.0035,325,0.2695,1,0.0031,68,0.0564,1,0.0147,9,0.0075,0,0
Week 41,mouthing sensory toys for autism,91,48,938,8,0.0085,15,0.3125,3,0.2,6,0.125,1,0.1667,1,0.0208,0,0
Week 41,sensory toy,92,2278,53401,368,0.0069,551,0.2419,0,0,163,0.0716,0,0,32,0.014,0,0
Week 41,z vibe,93,682,16511,366,0.0222,260,0.3812,0,0,59,0.0865,0,0,16,0.0235,0,0
Week 41,stim toys autism child,94,131,2907,72,0.0248,48,0.3664,1,0.0208,20,0.1527,1,0.05,0,0,0,-
Week 41,mini things,95,6909,157921,361,0.0023,1822,0.2637,0,0,462,0.0669,0,0,12,0.0017,0,0
Week 41,sensory toys for adults,96,3542,81824,68,0.0008,879,0.2482,1,0.0011,228,0.0644,1,0.0044,36,0.0102,0,0
Week 41,sensy band,97,180,3843,60,0.0156,42,0.2333,1,0.0238,22,0.1222,1,0.0455,8,0.0444,0,0
Week 41,sensory for adults anxiety,98,109,2611,18,0.0069,40,0.367,2,0.05,10,0.0917,1,0.1,2,0.0183,0,0
Week 41,boys sensory toys,99,163,3422,15,0.0044,60,0.3681,2,0.0333,23,0.1411,1,0.0435,6,0.0368,0,0
Week 41,calming toys for kids,100,1721,38328,308,0.008,616,0.3579,1,0.0016,181,0.1052,0,0,36,0.0209,0,0
Week 40,fidget toys,1,206709,4977312,6629,0.0013,60981,0.295,29,0.0005,16073,0.0778,9,0.0006,3041,0.0147,1,0.0003
Week 40,sensory toys,2,60584,1380333,1676,0.0012,16887,0.2787,10,0.0006,5355,0.0884,4,0.0007,901,0.0149,2,0.0022
Week 40,sensory toys for autistic children,3,34000,754323,1765,0.0023,10616,0.3122,7,0.0007,3247,0.0955,5,0.0015,540,0.0159,1,0.0019
Week 40,bunmo sensory toys,4,231,5727,366,0.0639,118,0.5108,11,0.0932,66,0.2857,8,0.1212,19,0.0823,1,0.0526
Week 40,toys for autistic children age 5-7,5,3134,69274,601,0.0087,865,0.276,8,0.0092,251,0.0801,4,0.0159,48,0.0153,2,0.0417
Week 40,autism sensory toys,6,18090,388104,2192,0.0056,5102,0.282,6,0.0012,1481,0.0819,3,0.002,199,0.011,0,0
Week 40,bunmo,7,202,5613,297,0.0529,76,0.3762,8,0.1053,37,0.1832,4,0.1081,10,0.0495,2,0.2
